Career_category,Skill,Interests,Hobby,Career,Recommended_education
Technology,Python,Machine Learning,Coding,Software Developer,B.Tech Computer Science or related field
Technology,Java,Web Development,Gaming,Backend Developer,B.Tech Computer Science or related field
Technology,JavaScript,Frontend Development,Design,Frontend Developer,B.Tech Computer Science or related field
Technology,C++,Algorithms,Problem Solving,System Software Engineer,B.Tech Computer Science or related field
Technology,SQL,Databases,Data Analysis,Database Administrator,B.Tech IT or related field
Technology,HTML,CSS,Web Design,Web Designer,B.Tech/BCA or related field
Technology,Ruby,Web Development,Open Source Contribution,Full Stack Developer,B.Tech Computer Science or related field
Technology,Python,AI,Robotics,AI Engineer,B.Tech Computer Science or related field
Technology,Python,Data Science,Statistics,Data Scientist,B.Tech Computer Science or related field
Technology,Java,Mobile App Development,Mobile Gaming,Android Developer,B.Tech Computer Science or related field
Technology,Swift,App Development,App Design,iOS Developer,B.Tech Computer Science or related field
Technology,C#,Game Development,Video Games,Unity Developer,B.Tech Computer Science or related field
Technology,JavaScript,UI/UX Design,Sketching,UI/UX Developer,B.Des/MCA or related field
Technology,Python,Deep Learning,Math,Deep Learning Engineer,B.Tech Computer Science or related field
Technology,PHP,Web Development,Blogging,Web Developer,B.Tech Computer Science or related field
Technology,R,Statistics,Data Analysis,Data Analyst,B.Tech/M.Sc Statistics
Technology,Python,Cloud Computing,Tech Gadgets,Cloud Engineer,B.Tech Computer Science or related field
Technology,Java,Big Data,Data Visualization,Big Data Engineer,B.Tech Computer Science or related field
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics or related field
Technology,Python,IoT,Robotics,IoT Developer,B.Tech Computer Science or related field
Technology,HTML,CSS,Graphic Design,Web Designer,BCA/B.Tech IT
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech Computer Science or related field
Technology,Java,Software Testing,Puzzles,QA Engineer,B.Tech Computer Science or related field
Technology,JavaScript,Game Development,Game Design,Frontend Game Developer,B.Tech Computer Science or related field
Technology,C++,Machine Learning,Chess,ML Engineer,B.Tech Computer Science or related field
Technology,Python,Data Engineering,Data Visualization,Data Engineer,B.Tech Computer Science or related field
Technology,Ruby,Rails Development,Open Source Contribution,Web Developer,B.Tech Computer Science
Technology,SQL,Database Management,Reading,Database Administrator,B.Tech IT
Technology,Python,Web Scraping,Internet Research,Web Scraping Engineer,B.Tech Computer Science
Technology,Java,Cloud Applications,Networking,Cloud Developer,B.Tech Computer Science
Technology,C#,Desktop Applications,Games,Software Developer,B.Tech Computer Science
Technology,JavaScript,React,UI Design,Frontend Developer,B.Tech Computer Science
Technology,Python,Statistics,Math Modeling,Data Analyst,B.Tech/M.Sc Statistics
Technology,C++,C Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,PHP,Laravel,Web Design,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Photography,Web Designer,BCA/B.Tech IT
Technology,Python,AI Research,Chess,AI Researcher,B.Tech Computer Science
Technology,Java,Spring Framework,Problem Solving,Backend Developer,B.Tech Computer Science
Technology,Python,Computer Vision,Robotics,Computer Vision Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,AI Competitions,Deep Learning Engineer,B.Tech Computer Science
Technology,SQL,Data Warehousing,Data Analysis,Data Warehouse Engineer,B.Tech IT
Technology,R,Data Science,Statistics,Data Scientist,B.Tech/M.Sc Statistics
Technology,Python,Robotics,Electronics,Robotics Engineer,B.Tech Computer Science
Technology,C++,Game Development,Video Games,Game Developer,B.Tech Computer Science
Technology,Python,Cloud,Tech Innovations,Cloud Engineer,B.Tech Computer Science
Technology,JavaScript,Node.js,Programming,Backend Developer,B.Tech Computer Science
Technology,C#,Unity 3D,Game Design,Game Developer,B.Tech Computer Science
Technology,Python,AI,Machine Learning,ML Engineer,B.Tech Computer Science
Technology,Java,Android Apps,Mobile Gaming,Android Developer,B.Tech Computer Science
Technology,Swift,iOS Apps,Mobile Gaming,iOS Developer,B.Tech Computer Science
Technology,PHP,Web Apps,Blogging,Web Developer,B.Tech Computer Science
Technology,Ruby,Rails,Open Source Contribution,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech Computer Science
Technology,Java,Software Testing,Puzzles,QA Engineer,B.Tech Computer Science
Technology,JavaScript,Game Development,Game Design,Frontend Game Developer,B.Tech Computer Science
Technology,C++,Machine Learning,Chess,ML Engineer,B.Tech Computer Science
Technology,Python,Data Engineering,Data Visualization,Data Engineer,B.Tech Computer Science
Technology,Ruby,Rails Development,Open Source Contribution,Web Developer,B.Tech Computer Science
Technology,SQL,Database Management,Reading,Database Administrator,B.Tech IT
Technology,Python,Web Scraping,Internet Research,Web Scraping Engineer,B.Tech Computer Science
Technology,Java,Cloud Applications,Networking,Cloud Developer,B.Tech Computer Science
Technology,C#,Desktop Applications,Games,Software Developer,B.Tech Computer Science
Technology,JavaScript,React,UI Design,Frontend Developer,B.Tech Computer Science
Technology,Python,Statistics,Math Modeling,Data Analyst,B.Tech/M.Sc Statistics
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,PHP,Laravel,Web Design,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Photography,Web Designer,BCA/B.Tech IT
Technology,Python,AI Research,Chess,AI Researcher,B.Tech Computer Science
Technology,Java,Spring Framework,Problem Solving,Backend Developer,B.Tech Computer Science
Technology,Python,Computer Vision,Robotics,Computer Vision Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,AI Competitions,Deep Learning Engineer,B.Tech Computer Science
Technology,SQL,Data Warehousing,Data Analysis,Data Warehouse Engineer,B.Tech IT
Technology,R,Data Science,Statistics,Data Scientist,B.Tech/M.Sc Statistics
Technology,Python,Robotics,Electronics,Robotics Engineer,B.Tech Computer Science
Technology,C++,Game Development,Video Games,Game Developer,B.Tech Computer Science
Technology,Python,Cloud,Tech Innovations,Cloud Engineer,B.Tech Computer Science
Technology,JavaScript,Node.js,Programming,Backend Developer,B.Tech Computer Science
Technology,C#,Unity 3D,Game Design,Game Developer,B.Tech Computer Science
Technology,Python,AI,Machine Learning,ML Engineer,B.Tech Computer Science
Technology,Java,Android Apps,Mobile Gaming,Android Developer,B.Tech Computer Science
Technology,Swift,iOS Apps,Mobile Gaming,iOS Developer,B.Tech Computer Science
Technology,PHP,Web Apps,Blogging,Web Developer,B.Tech Computer Science
Technology,Ruby,Rails,Open Source Contribution,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech Computer Science
Technology,Java,Software Testing,Puzzles,QA Engineer,B.Tech Computer Science
